vote,content_type_name,project_id,parent_content_type_name,user_id
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,69302
yes,entry,266,challenge,89386
yes,entry,266,challenge,114732
yes,entry,266,challenge,89386
yes,entry,266,challenge,114752
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,80037
yes,entry,266,challenge,88547
yes,entry,266,challenge,114798
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,89386
yes,entry,266,challenge,88895
yes,entry,266,challenge,89391
yes,entry,266,challenge,89174
yes,entry,266,challenge,114827
yes,entry,266,challenge,114827
yes,entry,266,challenge,114827
yes,entry,266,challenge,89099
yes,entry,266,challenge,80037
yes,entry,266,challenge,80037
yes,entry,266,challenge,114848
yes,entry,266,challenge,114849
yes,entry,266,challenge,114849
yes,entry,266,challenge,114849
yes,entry,266,challenge,114851
yes,entry,266,challenge,114854
yes,entry,266,challenge,90242
yes,entry,266,challenge,114876
yes,entry,266,challenge,89386
yes,entry,266,challenge,16772
yes,entry,266,challenge,54307
yes,entry,266,challenge,114594
yes,entry,266,challenge,8453
yes,entry,266,challenge,80037
yes,entry,266,challenge,54307
yes,entry,266,challenge,54307
yes,entry,266,challenge,54307
yes,entry,266,challenge,114973
yes,entry,266,challenge,114973
yes,entry,266,challenge,114973
yes,entry,266,challenge,43794
yes,entry,266,challenge,43794
yes,entry,266,challenge,43794
yes,entry,266,challenge,114990
yes,entry,266,challenge,114990
yes,entry,266,challenge,114990
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
yes,entry,266,challenge,65843
