action,project_ids,user_id
follow,[271],85381
follow,[271],85382
follow,[271],85385
follow,[271],85386
follow,[272],85387
follow,[272],85388
follow,[271],85394
follow,[271],85397
follow,[271],85398
follow,"[268, 266, 267]",50080
follow,[271],85402
follow,[266],85403
follow,[271],85407
follow,[271],85411
follow,[268],85412
follow,[272],85416
follow,[271],85417
follow,[268],85418
follow,"[267, 264, 263, 211, 272]",85423
follow,[271],85427
follow,[271],85428
follow,[271],85429
follow,[271],85431
follow,"[263, 272, 267, 208, 211, 264]",85433
follow,[271],85435
follow,[271],85442
follow,[271],85443
follow,[271],85448
follow,[271],85449
follow,[271],85449
follow,[271],85451
follow,"[250, 166, 157, 155]",63758
follow,"[271, 268]",85266
follow,"[266, 250, 155, 149, 157]",85457
follow,[271],85459
follow,[271],85459
follow,[271],85460
follow,"[266, 250]",20734
follow,[271],85464
follow,[271],85466
follow,[271],85467
follow,[271],85471
follow,"[264, 267]",85472
follow,[271],85473
follow,"[272, 267, 264, 263, 208, 211]",85478
follow,"[211, 267]",85481
follow,[271],85482
follow,"[155, 149, 157, 166, 250, 266]",85483
follow,"[267, 211]",85485
follow,"[266, 166, 155, 157, 149]",85487
follow,[271],85491
follow,"[266, 166, 157, 155]",85493
follow,[271],85494
follow,[271],85367
follow,[271],85501
follow,"[271, 272, 268]",85367
follow,[268],85506
follow,[271],85508
follow,"[272, 267, 264, 211]",85510
follow,"[271, 268]",85511
follow,"[264, 272, 267]",85513
follow,"[272, 267, 268]",85514
follow,"[264, 266, 267]",85384
follow,"[155, 149]",69287
follow,[271],85531
follow,"[272, 271, 267]",85535
follow,[266],85536
follow,[271],85537
follow,"[271, 268]",85540
follow,"[250, 157, 155, 149]",74484
follow,[155],85544
follow,[271],85551
follow,[271],85553
follow,[267],85554
follow,"[267, 208]",85564
follow,"[272, 267]",85565
follow,[271],85569
follow,"[266, 250, 166, 155, 149, 157]",85570
follow,[272],85571
follow,[271],85367
follow,[271],85573
follow,[271],85577
follow,"[268, 272]",85506
follow,[271],85579
follow,[271],85580
follow,[268],85582
follow,[272],85583
follow,[250],85584
follow,"[157, 266, 166]",85585
follow,[267],85586
follow,[271],85587
follow,"[166, 157, 250]",85588
follow,[271],85595
follow,[271],85596
follow,[268],85597
follow,[271],85600
follow,[271],85603
follow,[271],85604
follow,[271],85611
follow,[271],85610
follow,[271],85614
follow,[271],85615
follow,[271],85618
follow,[271],85619
follow,[271],85625
follow,"[271, 268, 266]",85515
follow,[268],85628
follow,[271],85634
follow,[271],85636
follow,[271],85637
follow,[271],85638
follow,[271],85643
follow,[271],85644
follow,[271],85645
follow,[271],85646
follow,[271],85649
follow,[271],85651
follow,[271],85655
follow,[271],85658
follow,[271],85659
follow,[271],85661
follow,[271],85663
follow,[271],85665
follow,[271],85670
follow,[271],85671
follow,"[211, 264, 267, 272]",85677
follow,[271],85681
follow,[271],85684
follow,[271],85685
follow,"[272, 267, 264]",85688
follow,[271],85689
follow,[271],85687
follow,[271],85690
follow,[271],85696
follow,[271],85699
follow,[271],85698
follow,[271],85700
follow,[271],85703
follow,[271],85708
follow,[271],85716
follow,"[267, 264]",85715
follow,[272],85717
follow,[271],85723
follow,[271],85724
follow,[271],85724
follow,[271],85725
follow,[271],85741
follow,[271],85746
follow,[271],85746
follow,[271],85752
follow,[266],85754
follow,[271],85758
follow,"[272, 267]",85760
follow,"[157, 149]",85766
follow,[271],85770
follow,[271],85772
follow,[271],85773
follow,[271],85777
follow,[271],85785
follow,[271],85795
follow,[271],85808
follow,"[272, 267]",85811
follow,[267],85819
follow,"[266, 166, 155]",85820
follow,"[267, 264, 272]",85824
follow,[271],85828
follow,[271],85830
follow,[271],85835
follow,"[271, 272]",85841
follow,"[272, 271, 268, 267, 266]",85646
follow,[271],85848
follow,[271],85854
follow,[271],85853
follow,[271],85858
follow,"[272, 264, 267]",85871
follow,[271],85885
follow,"[157, 155, 149]",84241
follow,[271],85894
follow,[271],85901
follow,[271],85904
follow,[267],85911
follow,"[157, 149, 155, 166]",85913
follow,[271],85915
follow,"[271, 272, 268, 266]",85916
follow,"[266, 267, 272]",57213
follow,[271],85923
follow,"[268, 267, 272]",85933
follow,[271],85937
follow,[271],85943
follow,"[155, 266]",85944
follow,"[272, 266, 268]",85945
follow,[271],85948
follow,[271],85949
follow,"[272, 266]",85953
follow,[271],85954
follow,[271],85957
follow,"[211, 264]",85958
follow,[271],85961
follow,[272],85962
follow,[271],85963
follow,[271],85965
follow,[271],85972
follow,[271],85973
follow,[271],72003
